WTM624;5:00;1
TGV201;5:15;1
WTL311;5:30;1
TGU802;5:45;1
WTM202;6:00;1
WTM654;6:08;1
WTM078;6:16;1
WTM043;6:24;1
SYR199;6:32;1
SLV118;6:40;1
WTM264;6:48;1
WTN457;6:56;1
WTL623;7:04;1
WTN077;7:12;1
WTP684;5:25;2
WTQ217;5:32;2
WTO952;5:39;2
WTM649;5:46;2
WTO991;5:53;2
WTO771;6:00;2
WTM353;6:06;2
WTM952;6:12;2
WTQ267;6:18;2
WTN314;6:24;2
TGV418;6:30;2
WTN069;6:36;2
WTM083;6:42;2
WTQ004;6:48;2
WOZ340;6:54;2
WTP002;7:00;2
WTL018;7:06;2
WTM819;7:12;2
TGV110;5:00;4
WTP029;5:08;4
WTM073;5:16;4
WTL554;5:24;4
WTL514;5:32;4
VBZ038;5:40;4
WTL378;5:48;4
WTL308;5:56;4
WTL458;6:04;4
WTM123;6:12;4
WTQ001;5:00;4
TGV029;5:08;4
WTL498;5:16;4
WTP981;5:24;4
WTO942;5:32;4
WOZ188;5:40;4
TGU719;5:48;4
TGU817;5:56;4
WTO479;6:04;4
WTO107;6:12;4
WTL164;5:00;6
TGV209;5:07;6
WTM967;5:14;6
WTO802;5:21;6
TGU474;5:26;6
VIZ563;5:31;6
WTQ350;5:36;6
WTQ057;5:41;6
WTO141;5:46;6
WTP058;5:51;6
WTQ470;5:56;6
TGU464;6:01;6
WTP479;6:06;6
WTN161;5:00;6
WTP568;5:06;6
WTN717;5:12;6
TGU210;5:18;6
TGM348;5:24;6
WTK923;5:30;6
WTL504;5:35;6
WTP088;5:40;6
WTO812;5:45;6
WTM120;5:50;6
WTQ551;5:55;6
WTO017;6:00;6
WTO712;6:05;6
WTM532;6:10;6
WTQ339;6:15;6
WTL224;6:20;6
WTM341;6:25;6
WOZ433;6:30;6
WTL564;6:35;6
WTN159;6:40;6
WTQ532;5:00;8
WOZ219;5:05;8
WTQ312;5:10;8
WTN678;5:15;8
WTL723;5:20;8
WTQ607;5:24;8
WTN064;5:28;8
WTQ133;5:32;8
WTQ432;5:36;8
WTQ507;5:40;8
WTQ610;5:44;8
WTQ291;5:48;8
WTM044;5:51;8
TGU803;5:54;8
WTN798;5:57;8
WTL642;6:00;8
WOZ470;6:03;8
WTP979;6:06;8
WTL184;6:09;8
WTN804;6:12;8
WTN410;6:15;8
WTP851;6:18;8
XYC999;6:21;8
WTN741;6:24;8
WOZ427;6:27;8
WOZ213;6:30;8
WTO798;6:33;8
WTO529;6:36;8
WTN544;6:39;8
WTL750;6:42;8
WTQ392;6:45;8
WTN738;6:48;8
WTM243;6:51;8
WTL773;6:54;8
SMR013;6:57;8
WTO370;7:00;8
WTQ317;7:03;8
WTP360;7:06;8
WTO713;7:09;8
WTM823;7:12;8
WTP531;5:00;9
WTL403;5:07;9
WTL264;5:14;9
WTL274;5:21;9
WTL653;5:28;9
WTP931;5:34;9
WTL633;5:40;9
WTP821;5:46;9
WTL354;5:52;9
WTL837;5:58;9
WTP861;6:04;9
WOZ190;6:10;9
TGV370;6:16;9
WTL294;6:22;9
WTO602;6:28;9
WTL293;6:34;9
